sno;observationdate;provincestate;countryregion;lastupdate;confirmed;deaths;recovered;novoscasos
21889;06/05/2020;;Brazil;07/05/2020 02:32;126611.0;8588.0;51370.0;11156.0
22212;07/05/2020;;Brazil;08/05/2020 02:32;135773.0;9190.0;55350.0;9162.0
22535;08/05/2020;;Brazil;09/05/2020 02:32;146894.0;10017.0;59297.0;11121.0
22858;09/05/2020;;Brazil;10/05/2020 02:32;156061.0;10656.0;61685.0;9167.0
23181;10/05/2020;;Brazil;11/05/2020 02:32;162699.0;11123.0;64957.0;6638.0
23504;11/05/2020;;Brazil;12/05/2020 03:32;169594.0;11653.0;67384.0;6895.0
23827;12/05/2020;;Brazil;13/05/2020 03:32;178214.0;12461.0;72597.0;8620.0
24150;13/05/2020;;Brazil;14/05/2020 03:32;190137.0;13240.0;78424.0;11923.0
24474;14/05/2020;;Brazil;15/05/2020 02:33;203165.0;13999.0;79479.0;13028.0
24851;15/05/2020;;Brazil;16/05/2020 02:32;220291.0;14962.0;84970.0;17126.0
25228;16/05/2020;;Brazil;17/05/2020 02:32;233511.0;15662.0;89672.0;13220.0
25605;17/05/2020;;Brazil;18/05/2020 02:32;241080.0;16118.0;94122.0;7569.0
25982;18/05/2020;;Brazil;19/05/2020 02:32;255368.0;16853.0;100459.0;14288.0
26359;19/05/2020;;Brazil;20/05/2020 02:32;271885.0;17983.0;106794.0;16517.0
