"Ano","Mes","Casos_Confirmados","Novos_Casos","Mortes_Notificadas"
"2020","02","5.0","1.0","0.0"
"2020","03","37127.0","5715.0","976.0"
"2020","04","1048506.0","81470.0","66571.0"
"2020","05","3206486.0","184698.0","218034.0"
